CNPJ;Nome;Site;Perfil;Código
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;AGENTE DE CUSTÓDIA;254
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;CUSTODIANTE BALCÃO;1123
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;EMITENTE DE GARANTIAS;10001
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;ESCRITURADOR;6098
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;LIQUIDANTE;2659
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;MEMBRO DE COMPENSAÇÃO;254
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;20017
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;PARTICIPANTE DE BALCÃO;1123
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;PARTICIPANTE DE LIQUIDAÇÃO ;254
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;PARTICIPANTE DE NEGOCIAÇÃO PLENO;20017
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;PARTICIPANTE DEPOSITÁRIO DE OURO;7002
00000000000191;BANCO DO BRASIL S/A;www.bb.com.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;00010.00-7
00000000001830;BANCO DO BRASIL S/A (SP);;PARTICIPANTE DEPOSITÁRIO DE OURO;7001
00000208000100;BRB BANCO DE BRASILIA S/A;www.brb.com.br;CUSTODIANTE BALCÃO;2278
00000208000100;BRB BANCO DE BRASILIA S/A;www.brb.com.br;LIQUIDANTE;2278
00000208000100;BRB BANCO DE BRASILIA S/A;www.brb.com.br;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;50094
00000208000100;BRB BANCO DE BRASILIA S/A;www.brb.com.br;PARTICIPANTE DE BALCÃO;2278
00000208000100;BRB BANCO DE BRASILIA S/A;www.brb.com.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;70700.00-0
00001172000180;S/A CORREIO BRAZILIENSE;;SEGMENTO BALCÃO;23670.40-0
00001180000126;CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS;;SEGMENTO BALCÃO;30219.40-7
00010370000100;UNICABO PARTICIPACOES E COMUNICACOES S/A;;SEGMENTO BALCÃO;34989.43-4
00016905000150;RANDONPREV FUNDO DE PENSAO;;SEGMENTO BALCÃO;37502.70-8
00017024000153;FI RENDA FIXA EXPONENCIAL;;SEGMENTO BALCÃO;57248.00-4
00021096000174;FIBRA DUPONT SUDAMERICA S/A;;SEGMENTO BALCÃO;36089.41-1
00038166000105;BANCO CENTRAL DO BRASIL;;EMITENTE DE GARANTIAS;50001
00038166000105;BANCO CENTRAL DO BRASIL;;LIQUIDANTE;10999
00038166000105;BANCO CENTRAL DO BRASIL;;MEMBRO DE COMPENSAÇÃO;9999
00038166000105;BANCO CENTRAL DO BRASIL;;PARTICIPANTE DE NEGOCIAÇÃO PLENO;810
00038166000105;BANCO CENTRAL DO BRASIL;;SEGMENTO BALCÃO;00004.00-6
00038166000954;SISTEMA ESPECIAL DE LIQUIDAÇÃO E CUSTÓDIA;;SEGMENTO BALCÃO;99999999-9
00063893000114;BANDEPE FDO INVES FINANC 60 DIAS;;SEGMENTO BALCÃO;24888.00-2
00066670000100;BEM DTVM LTDA;;ADMINISTRADOR DE CLUBES;3772
00066670000100;BEM DTVM LTDA;;SEGMENTO BALCÃO;01422.00-3
00068987000186;COOPERATIVA DE CREDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI;;SEGMENTO BALCÃO;06081.00-9
00070698000111;COMPANHIA ENERGETICA DE BRASILIA - CEB;;SEGMENTO BALCÃO;38709.41-4
00071477000168;BB RENDA FIXA CURTO PRAZO AUTOMATICO EMPRESA FIC FI;;SEGMENTO BALCÃO;12750.00-1
00073041000108;BB BESC RENDA FIXA PRATICO CREDITO PRIVADO FUNDO DE INVESTIMENTO;;SEGMENTO BALCÃO;00607.00-1
00073957000168;ELETROSUL CENTRAIS ELETRICAS S/A;;SEGMENTO BALCÃO;22234.40-7
00075847000135;COOP DE CREDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;;SEGMENTO BALCÃO;11037.00-0
00083181000167;OPP I FI EM ACOES BDR NIVEL I INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;46898.00-1
00090057000129;MARSIAJ OLIVEIRA S/A;;SEGMENTO BALCÃO;25969.41-8
00093808000160;FUNDO BEM DE RENDA FIXA - CURTO PRAZO;;SEGMENTO BALCÃO;24878.00-5
00095147000102;VBC ENERGIA S.A;;SEGMENTO BALCÃO;31819.41-1
00101698000131;YPEARTS AUDIOVISUAL LTDA;;SEGMENTO BALCÃO;34199.44-4
00102322000141;BOREAL ACOES III FUNDO DE INVESTIMENTO EM ACOES;;SEGMENTO BALCÃO;85008.00-3
00103582000131;ENGEVIX ENGENHARIA  S.A.;;SEGMENTO BALCÃO;14826.40-7
00106180000190;CCC DOS EST DE MG E MS E DO MUNICIPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;;SEGMENTO BALCÃO;01393.00-8
00107852000182;PORTOPREV - PORTO SEGURO PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCÃO;82329.70-9
00108786000165;NET SERVICOS DE COMUNICACAO S.A.;;SEGMENTO BALCÃO;16286.40-9
00122327000136;SANTINVEST S/A  CFI;;SEGMENTO BALCÃO;18555.00-4
